ranking_funerario;empresa_raw;peer_id;primas_funerario_miles_bs;primas_total_personas_miles_bs;pagina_pdf;year;archivo_fuente
1;Fé C.A., Seguros;fe c a seguros;13156;14525;18;2022;seguros-en-cifra-2022.pdf
2;Mercantil Seguros, C.A;mercantil;13128;1219310;18;2022;seguros-en-cifra-2022.pdf
3;Banesco Seguros C.A;banesco;8308;88213;18;2022;seguros-en-cifra-2022.pdf
4;BBVA C.A., Seguros;bbva c a seguros;7868;11970;18;2022;seguros-en-cifra-2022.pdf
5;Mapfre La Seguridad, C.A. de Seguros;mapfre;4932;183479;18;2022;seguros-en-cifra-2022.pdf
6;Pirámide C.A., Seguros;piramide;4237;339432;18;2022;seguros-en-cifra-2022.pdf
7;Universitas C.A., Seguros;universitas c a seguros;2793;85594;18;2022;seguros-en-cifra-2022.pdf
8;Previsora, C.N.A. de Seguros;previsora c n a de seguros;2337;9417;18;2022;seguros-en-cifra-2022.pdf
9;Internacional, S.A. de Seguros;La Internacional;1858;198673;18;2022;seguros-en-cifra-2022.pdf
10;Andes C.A., Seguros;andes c a seguros;1816;27727;18;2022;seguros-en-cifra-2022.pdf
11;Capital, C.A Seguros;capital c a seguros;1594;2009;18;2022;seguros-en-cifra-2022.pdf
12;Virgen del Valle C.A., Seguros;virgen del valle c a seguros;1525;1525;18;2022;seguros-en-cifra-2022.pdf
13;Miranda C.A., Seguros;miranda;1510;16806;18;2022;seguros-en-cifra-2022.pdf
14;Oceánica de Seguros, C.A;oceanica;1035;151773;18;2022;seguros-en-cifra-2022.pdf
15;Venezuela C.A., Seguros;venezuela c a seguros;801;43348;18;2022;seguros-en-cifra-2022.pdf
16;Horizonte S.A., Seguros;horizonte s a seguros;717;10031;18;2022;seguros-en-cifra-2022.pdf
17;Constitución C.A., Seguros;constitucion;513;169937;18;2022;seguros-en-cifra-2022.pdf
18;Altamira C.A., Seguros;altamira c a seguros;490;18095;18;2022;seguros-en-cifra-2022.pdf
19;Atrio Seguros S.A;atrio seguros s a;306;42532;18;2022;seguros-en-cifra-2022.pdf
20;Qualitas C.A., Seguros;qualitas c a seguros;282;55419;18;2022;seguros-en-cifra-2022.pdf
21;Proseguros, S.A;proseguros s a;205;265;18;2022;seguros-en-cifra-2022.pdf
22;Real Seguros S.A;real seguros;151;33431;18;2022;seguros-en-cifra-2022.pdf
23;Nuevo Mundo S.A., Seguros;nuevo mundo s a seguros;139;4228;18;2022;seguros-en-cifra-2022.pdf
24;Occidental, C.A. de Seguros;occidental c a de seguros;139;1719;18;2022;seguros-en-cifra-2022.pdf
25;Uniseguros S.A., Aseguradora Nacional Unida;uniseguros s a aseguradora nacional ;139;2675;18;2022;seguros-en-cifra-2022.pdf
26;Hispana de Seguros, S.A;hispana;51;108856;18;2022;seguros-en-cifra-2022.pdf
27;Universal de Seguros C.A;universal de seguros c a;46;237;18;2022;seguros-en-cifra-2022.pdf
28;Caroní S.A., Seguros;caroni s a seguros;33;968;18;2022;seguros-en-cifra-2022.pdf
29;Catatumbo, C.A. Seguros;catatumbo c a seguros;30;94;18;2022;seguros-en-cifra-2022.pdf
30;Vivir Seguros C.A;vivir seguros c a;20;459;18;2022;seguros-en-cifra-2022.pdf
31;Zuma Seguros, C.A;zuma seguros c a;13;57;18;2022;seguros-en-cifra-2022.pdf
32;Oriental de Seguros C.A;oriental de seguros c a;9;21;18;2022;seguros-en-cifra-2022.pdf
33;American International, C.A. de Seguros;american international c a de seguro;0;548;18;2022;seguros-en-cifra-2022.pdf
34;Bolivariana de Seguros y Reaseguros, S.A;bolivariana de seguros y reaseguros ;0;0;18;2022;seguros-en-cifra-2022.pdf
35;Caracas C.A., Seguros;caracas;0;871830;18;2022;seguros-en-cifra-2022.pdf
36;Corporativos C.A., Seguros;corporativos c a seguros;0;17;18;2022;seguros-en-cifra-2022.pdf
37;Estar Seguros, S.A;estar seguros s a;0;16525;18;2022;seguros-en-cifra-2022.pdf
38;Iberoamericana de Seguros C.A;iberoamericana de seguros c a;0;0;18;2022;seguros-en-cifra-2022.pdf
39;Mundial de Seguros, C.A;mundial de seguros c a;0;92;18;2022;seguros-en-cifra-2022.pdf
40;Primus Seguros, C.A;primus seguros c a;0;3;18;2022;seguros-en-cifra-2022.pdf
41;Vertice Seguros, C.A;vertice seguros c a;0;0;18;2022;seguros-en-cifra-2022.pdf
42;Vitalicia S.A., Seguros;vitalicia s a seguros;0;0;18;2022;seguros-en-cifra-2022.pdf
